 tp_id |           symbol           | direction |  entry_price   |   stop_loss    | take_profit_1  | tp_status |         activated_at          |         created_at         | has_toobit_demo_order | toobit_order_status |                     toobit_error                     | has_competition_trade | ct_id | ct_tp_id | ct_entered_at | ct_exit_reason 
 14717 | VIRTUAL/USDT:USDT          | long      |     0.57090000 |     0.56400000 |     0.59500000 | closed    | 2026-06-11 06:51:00+02        | 2026-06-10 23:28:01.914+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14716 | TON/USDT:USDT              | short     |     1.78350000 |     1.94950000 |     1.50220000 | open      | 2026-06-14 16:09:00+02        | 2026-06-10 23:27:56.959+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14715 | WLD/USDT:USDT              | long      |     0.42320000 |     0.40650000 |     0.49100000 | expired   |                               | 2026-06-10 23:27:38.462+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14713 | SOLBTC/USDT                | long      |     0.00108940 |     0.00098000 |     0.00129310 | cancelled |                               | 2026-06-10 23:25:19.822+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14714 | US30/USDT:USDT             | long      | 50850.00000000 | 50550.00000000 | 51800.00000000 | closed    | 2026-06-11 21:25:00+02        | 2026-06-10 23:25:16.591+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14712 | WSTR/USDT                  | long      |   127.67000000 |   100.00000000 |   202.93000000 | cancelled |                               | 2026-06-10 23:24:45.967+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14711 | STRCL/USDT                 | short     |    95.50000000 |    99.44000000 |    93.50000000 | cancelled |                               | 2026-06-10 23:21:51.088+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14679 | WLFI/USDT:USDT             | long      |     0.05500000 |     0.05400000 |     0.06413000 | expired   |                               | 2026-06-10 21:04:18.606+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14678 | XAU/USDT:USDT              | long      |  4098.74200000 |  4000.00000000 |  4200.00000000 | closed    | 2026-06-10 21:11:00+02        | 2026-06-10 21:04:18.596+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14677 | US30/USDT:USDT             | long      | 50313.00000000 | 50198.10000000 | 50762.40000000 | closed    | 2026-06-10 21:20:00+02        | 2026-06-10 21:02:53.872+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14671 | ONDO/USDT:USDT             | long      |     0.35000000 |     0.34750000 |     0.38720000 | closed    | 2026-06-09 18:55:00+02        | 2026-06-09 18:53:40.74+02  | no                    |                     |                                                      | no                    |       |          |               | 
 14670 | HYPE/USDT:USDT             | long      |    57.65400000 |    50.44500000 |    67.97300000 | closed    | 2026-06-10 00:05:00+02        | 2026-06-09 18:53:33.72+02  | no                    |                     |                                                      | no                    |       |          |               | 
 14669 | RENDER/USDT:USDT           | long      |     1.40800000 |     1.29700000 |     1.72600000 | expired   |                               | 2026-06-09 18:53:29.114+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14666 | WLFI/USDT:USDT             | short     |     0.05514000 |     0.05820000 |     0.05000000 | closed    | 2026-06-09 18:59:00+02        | 2026-06-09 18:48:46.561+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14665 | AERO/USDT:USDT             | long      |     0.32400000 |     0.32070000 |     0.33820000 | expired   |                               | 2026-06-09 18:48:45.238+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14664 | MSTR/USDT:USDT             | short     |   115.83000000 |   154.96000000 |    80.00000000 | open      | 2026-06-09 18:47:00+02        | 2026-06-09 18:46:32.302+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14663 | AAPL/USDT:USDT             | long      |   283.00000000 |   277.14000000 |   304.19000000 | expired   |                               | 2026-06-09 18:46:27.76+02  | no                    |                     |                                                      | no                    |       |          |               | 
 14662 | US30/USDT:USDT             | short     | 51293.90000000 | 51380.00000000 | 50920.00000000 | closed    | 2026-06-12 13:14:00+02        | 2026-06-09 18:44:47.937+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14661 | BTC/USDT:USDT              | long      | 61068.40000000 | 60877.00000000 | 66802.00000000 | closed    | 2026-06-10 11:14:00+02        | 2026-06-09 18:44:30.826+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14660 | BTC/USDT:USDT              | long      | 60239.40000000 | 57695.40000000 | 69575.20000000 | expired   |                               | 2026-06-09 18:44:30.703+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14639 | BRETT/USDT:USDT            | short     |     0.00597900 |     0.00606800 |     0.00490000 | closed    | 2026-06-11 06:03:00+02        | 2026-06-08 19:21:08.236+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14638 | NEAR/USDT:USDT             | short     |     2.22500000 |     2.37800000 |     1.77100000 | closed    | 2026-06-09 22:00:00+02        | 2026-06-08 19:07:28.826+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14637 | TON/USDT:USDT              | long      |     1.74820000 |     1.70000000 |     1.96000000 | closed    | 2026-06-08 19:08:00+02        | 2026-06-08 19:07:09.233+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14636 | VIRTUAL/USDT:USDT          | long      |     0.53870000 |     0.51910000 |     0.65000000 | closed    | 2026-06-10 23:13:00+02        | 2026-06-08 19:06:49.288+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14635 | ONDO/USDT:USDT             | short     |     0.36310000 |     0.39520000 |     0.31300000 | closed    | 2026-06-09 02:11:00+02        | 2026-06-08 19:06:26.541+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14634 | ETH/USDT:USDT              | long      |  1502.39000000 |  1367.61000000 |  2444.11000000 | expired   |                               | 2026-06-08 19:02:59.37+02  | no                    |                     |                                                      | no                    |       |          |               | 
 14633 | SOLBTC/USDT                | long      |     0.00105460 |                |     0.00128400 | cancelled |                               | 2026-06-08 19:02:47.599+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14632 | SOL/USDT:USDT-260531-90-P  | short     |    74.93000000 |    77.50000000 |    56.00000000 | open      | 2026-06-15 17:47:00+02        | 2026-06-08 19:02:02.828+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14629 | XAU/USDT:USDT              | long      |  4344.06000000 |  4274.87800000 |  4415.01600000 | closed    | 2026-06-08 19:00:00+02        | 2026-06-08 18:54:53.766+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14628 | US30/USDT:USDT             | long      | 50375.70000000 | 50300.70000000 | 50797.70000000 | closed    | 2026-06-09 17:31:00+02        | 2026-06-08 18:54:14.743+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14627 | MSFT/USDT:USDT             | long      |   412.08000000 |   405.06000000 |   553.98000000 | closed    | 2026-06-08 20:02:00+02        | 2026-06-08 18:51:38.368+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14626 | STRC/USDT                  | short     |    98.69000000 |    99.16000000 |                | cancelled |                               | 2026-06-08 18:51:21.748+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14625 | MSTR/USDT:USDT             | long      |    80.00000000 |    50.00000000 |   155.17000000 | expired   |                               | 2026-06-08 18:50:40.468+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14624 | USO/USDT:USDT              | short     |    99.08700000 |    99.94600000 |    88.56000000 | expired   |                               | 2026-06-08 18:47:08.874+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14588 | XAU/USDT:USDT              | long      |  4328.92000000 |  4200.00000000 |  4791.71000000 | closed    | 2026-06-08 00:00:00+02        | 2026-06-07 23:51:07.772+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14512 | BNB/USDT:USDT              | long      |   658.09000000 |                |                | open      | 2026-06-02 21:02:00+02        | 2026-06-02 18:45:27.197+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14451 | VIRTUAL/USDT:USDT          | long      |     0.68440000 |     0.66500000 |                | closed    | 2026-06-04 03:58:00+02        | 2026-06-01 19:16:57.738+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14444 | XAU/USDT:USDT              | long      |  4393.79800000 |  4374.55400000 |  4520.15200000 | closed    | 2026-06-05 15:37:00+02        | 2026-06-01 19:00:12.322+02 | no                    |                     |                                                      | no                    |       |          |               | 
(78 rows)

